epoch,train_loss,val_loss
1,29.831289473034087,21.563505155699595
2,20.55433780806405,20.354119147573197
3,20.07524349575951,19.817227005958557
4,19.483917179561796,19.129618678774154
5,19.165004741577874,18.881472996303014
6,18.5627988747188,18.721186688968114
7,18.43120409193493,18.556281668799265
8,18.06295515242077,18.152761033603124
9,17.890416474569413,17.96293565205165
10,17.845082373846147,18.035118426595414
11,17.530937569481985,17.755184446062362
12,17.404677947362263,17.731775641441345
13,17.29906866096315,17.454843759536743
14,17.105280586651393,17.29451331070491
15,17.050894987015496,17.19948993410383
16,16.817720963841392,17.1428884608405
17,16.6850715591794,16.816739405904496
18,16.62006799947648,16.788112810679845
19,16.544867895898363,16.853798525674
20,16.41176057997204,16.805166789463588
21,16.215686122576397,16.589693001338414
22,16.06207593849727,16.857423884528025
23,15.974332820801507,16.569703119141714
24,15.930771941230411,16.350885680743627
25,15.807844786416917,16.399103266852244
26,15.733989329565139,16.582275441714696
27,15.627408169564747,16.171576142311096
28,15.530698356174288,16.193355832781112
29,15.486442055021014,16.119714396340505
30,15.442811052004496,15.99903951372419
31,15.316578229268393,16.0296585048948
32,15.236744239216758,16.106812630380904
33,15.25049907252902,16.05333469595228
34,15.216999485379173,16.260638662746974
35,15.146246240252541,15.862337470054626
36,15.036308328310648,15.805795925004142
37,15.017769155048189,16.09790085043226
38,14.938694812002636,15.724693979535784
39,14.963241457939148,15.732441357203893
40,14.839146506218682,15.958415269851685
41,14.863818503561474,16.039061989103043
42,14.852076252301535,15.932802728244237
43,14.740687188648042,15.792265227862767
44,14.712232742990766,15.707345792225428
45,14.659687399864197,15.73706318650927
46,14.635520883968898,15.684058938707624
47,14.638380385580517,15.655943529946464
48,14.591100851694742,15.620925068855286
49,14.563471232141767,15.7054523229599
50,14.521978497505188,15.427542056356158
51,14.181143919626871,15.240051933697291
52,14.133007622900463,15.255586453846522
53,14.117185433705648,15.250162363052368
54,14.102129777272543,15.236583965165275
55,14.088383186431159,15.2267758335386
56,14.077219957397098,15.239898681640625
57,14.06612837882269,15.234927483967372
58,14.053852098328727,15.218488659177508
59,14.04528382278624,15.201377732413155
60,14.03770931561788,15.22497112410409
61,14.027855736868721,15.21271824836731
62,14.021713024093991,15.20393329007285
63,14.015187297548566,15.205564873559135
64,14.003848910331726,15.216294578143529
65,13.999456655411493,15.19664980684008
66,13.991896549860636,15.197528856141227
67,13.982608607837133,15.190815005983625
68,13.978166432607741,15.204502667699542
69,13.970898298990159,15.190711413111005
70,13.96284018244062,15.194134031023298
71,13.956274271011353,15.222062689917427
72,13.951716337885175,15.191855175154549
73,13.943784134728569,15.185891560145787
74,13.937917851266407,15.185861536434718
75,13.932435660135178,15.194281152316503
76,13.926906988734292,15.192739129066467
77,13.919309150604974,15.177194322858538
78,13.91448023773375,15.166074514389038
79,13.909379556065513,15.16814376626696
80,13.901868212790717,15.179848177092415
81,13.898153549148923,15.175957781927925
82,13.891446874255227,15.177765539714269
83,13.885825787271772,15.168685248919896
84,13.8778106598627,15.19289229597364
85,13.875702863647824,15.195829817226954
86,13.866100135303679,15.175539527620588
87,13.862569831666493,15.178467444011144
88,13.85867320355915,15.17261700970786
89,13.851564747946602,15.16892157282148
90,13.845185262816292,15.176608051572527
91,13.841412351244973,15.183544329234532
92,13.840200066566467,15.17820131778717
93,13.827881432714916,15.176592128617424
94,13.827450354894003,15.167100157056536
95,13.823939198539371,15.182021805218287
96,13.815603171076093,15.182025943483625
97,13.811578041031247,15.160366296768188
98,13.808456772849674,15.170407346316747
99,13.800009120078315,15.18802969796317
100,13.797256787618002,15.171462621007647
101,13.762928247451782,15.141645550727844
102,13.757834207443963,15.143024035862513
103,13.755006455239796,15.144237978117806
104,13.754775745528084,15.14229600770133
105,13.754482235227313,15.142306021281652
106,13.750012965429397,15.14502031462533
107,13.751589706965856,15.14315400804792
108,13.750892491567702,15.138816918645587
109,13.748609253338405,15.144740428243365
110,13.749393616403852,15.143539088112968
111,13.74863238561721,15.145612614495414
112,13.74937511625744,15.142567259924752
113,13.746266330991473,15.145361185073853
114,13.744786495254154,15.145018594605583
115,13.746049682299295,15.145288160869054
116,13.745765544119335,15.140585098947797
117,13.744932867231823,15.147656338555473
118,13.745298374266852,15.144852689334325
119,13.7426742428825,15.14594200679234
120,13.741464319683256,15.149228266307286
121,13.742096883910042,15.143444061279297
122,13.739641467730204,15.143552729061671
123,13.740208177339463,15.146900738988604
124,13.739012144860768,15.145202824047633
125,13.7399849096934,15.140791586467198
126,13.738653676850456,15.146563564028058
127,13.737774769465128,15.144956452505928
128,13.73664893422808,15.144471713474818
129,13.734580329486302,15.149473241397313
130,13.734316258203416,15.144450494221278
131,13.736920305660792,15.142606105123248
132,13.733859260876974,15.146266102790833
133,13.73319973832085,15.1488014289311
134,13.733561555544535,15.142828702926636
135,13.731636518523807,15.149330854415894
136,13.733938086600531,15.145889588764735
137,13.731628713153658,15.145983321326119
138,13.730096902166094,15.148598500660487
139,13.729710522152129,15.141711848122734
140,13.73130982830411,15.147546563829694
141,13.728808624403817,15.146303244999476
142,13.727845946947733,15.143364650862557
143,13.72823471114749,15.148959074701581
144,13.728114656039647,15.148571542331151
145,13.725839359419686,15.145798308508736
146,13.725432554880777,15.14386602810451
147,13.725003145989918,15.14798355102539
148,13.723765401613145,15.15045496395656
149,13.722626527150473,15.145218661853246
150,13.72322276092711,15.146273425647191
151,13.717819355783009,15.141543711934771
152,13.718862851460775,15.140403594289507
153,13.718566281454903,15.141316839626857
154,13.718104805265154,15.142343470028468
